horseid,breed,gender,fastq_id
M7952,STDB,M,M7952
M7953,STDB,F,M7953
M7954,STDB,M,M7954
M8518,STDB,M,M8518
M8519,STDB,M,M8519
M8520,STDB,M,M8520
M8521,STDB,F,M8521
M8522,STDB,F,M8522
M8523,STDB,F,M8523
M8524,STDB,F,M8524
M8525,STDB,F,M8525
M8526,STDB,F,M8526
M8527,STDB,M,M8527
M8528,STDB,M,M8528
M8529,STDB,M,M8529
M8530,STDB,M,M8530
M8531,STDB,M,M8531
M8532,STDB,F,M8532
M8533,STDB,M,M8533
M8534,STDB,M,M8534
M8536,STDB,M,M8536
M8537,STDB,M,M8537
M8538,STDB,M,M8538
M8539,STDB,M,M8539
M8540,STDB,M,M8540
M8541,STDB,M,M8541
M8542,STDB,M,M8542
M8543,STDB,F,M8543
M8544,STDB,M,M8544
M8545,STDB,F,M8545
M8546,STDB,F,M8546
M8547,STDB,M,M8547
M8548,STDB,M,M8548
M8549,STDB,F,M8549
M8550,STDB,F,M8550
M8551,STDB,M,M8551
M8552,STDB,M,M8552
M8553,STDB,F,M8553
M8554,STDB,F,M8554
M8555,STDB,M,M8555
M8556,STDB,F,M8556
M8557,STDB,M,M8557
M8558,STDB,M,M8558
M8559,STDB,M,M8559
M8560,STDB,M,M8560
M8561,STDB,F,M8561
M8562,STDB,F,M8562
M8563,STDB,M,M8563
M8564,STDB,F,M8564
M8565,STDB,M,M8565
M8566,STDB,F,M8566
M8567,STDB,F,M8567
M8568,STDB,M,M8568
M8570,STDB,M,M8570
M8571,STDB,M,M8571
M8572,STDB,M,M8572
M8573,STDB,F,M8573
M8574,STDB,M,M8574
M8575,STDB,F,M8575
M8576,STDB,M,M8576
M8577,STDB,M,M8577
M8578,STDB,M,M8578
M8579,STDB,F,M8579
M8580,STDB,F,M8580
M8583,STDB,M,M8583
M8584,STDB,M,M8584
M8585,STDB,M,M8585
M8586,STDB,M,M8586
M8587,STDB,M,M8587
M8588,STDB,F,M8588
M8589,STDB,F,M8589
M8590,STDB,F,M8590
M8591,STDB,M,M8591
M8592,STDB,M,M8592
M8593,STDB,F,M8593
M8594,STDB,M,M8594
M8595,STDB,F,M8595
M8596,STDB,F,M8596
M8597,STDB,F,M8597
M8598,STDB,F,M8598
M8600,STDB,M,M8600
M8601,STDB,M,M8601
M8602,STDB,F,M8602
M8603,STDB,M,M8603
M8604,STDB,M,M8604
M8605,STDB,M,M8605
M8606,STDB,M,M8606
M8607,STDB,M,M8607
M8608,STDB,F,M8608
M8609,STDB,M,M8609
M8610,STDB,M,M8610
M8611,STDB,F,M8611
M8612,STDB,F,M8612
M8614,STDB,M,M8614
M8615,STDB,M,M8615
M8616,STDB,F,M8616
M8617,STDB,M,M8617
M8618,STDB,F,M8618
M8619,STDB,M,M8619
M8621,STDB,M,M8621
M8622,STDB,F,M8622
M8623,STDB,M,M8623
M8624,STDB,F,M8624
M8625,STDB,M,M8625
M8626,STDB,M,M8626
M8627,STDB,F,M8627
M8628,STDB,F,M8628
M8629,STDB,M,M8629
M8630,STDB,M,M8630
M8631,STDB,F,M8631
M8632,STDB,F,M8632
M8633,STDB,M,M8633
M8634,STDB,M,M8634
M8635,STDB,M,M8635
M8636,STDB,M,M8636
M8637,STDB,M,M8637
M8638,STDB,M,M8638
M8639,STDB,F,M8639
M8640,STDB,M,M8640
M8641,STDB,M,M8641
M8644,STDB,M,M8644
M8645,STDB,F,M8645
M8646,STDB,M,M8646
M8648,STDB,F,M8648
M8649,STDB,F,M8649
M8650,STDB,M,M8650
M8651,STDB,M,M8651
M8652,STDB,F,M8652
M8654,STDB,F,M8654
M8655,STDB,F,M8655
M8656,STDB,F,M8656
M8657,STDB,M,M8657
M8659,STDB,M,M8659
M8661,STDB,F,M8661
M8663,STDB,M,M8663
M8664,STDB,M,M8664
M8665,STDB,F,M8665
M8666,STDB,F,M8666
M8667,STDB,F,M8667
M8668,STDB,F,M8668
M8672,STDB,M,M8672
M8675,STDB,F,M8675
M8676,STDB,M,M8676
M8677,STDB,M,M8677
M8678,STDB,M,M8678
M8679,STDB,M,M8679
M8680,STDB,M,M8680
M8681,STDB,M,M8681
M8682,STDB,F,M8682
M8683,STDB,F,M8683
M8684,STDB,F,M8684
M8685,STDB,F,M8685
M8686,STDB,M,M8686
M8687,STDB,M,M8687
M8688,STDB,F,M8688
M8689,STDB,F,M8689
M8690,STDB,F,M8690
M8691,STDB,F,M8691
M8693,STDB,M,M8693
M8694,STDB,F,M8694
M8695,STDB,M,M8695
M8697,STDB,M,M8697
M8698,STDB,F,M8698
M8699,STDB,M,M8699
M8700,STDB,M,M8700
M8701,STDB,M,M8701
M8702,STDB,M,M8702
M8703,STDB,M,M8703
M8704,STDB,M,M8704
M8705,STDB,M,M8705
M8706,STDB,M,M8706
M8707,STDB,M,M8707
M8721,STDB,M,M8721
M8722,STDB,M,M8722
M8723,STDB,M,M8723
M8724,STDB,F,M8724
M8725,STDB,F,M8725
M8726,STDB,M,M8726
M8727,STDB,M,M8727
M8729,STDB,M,M8729
M8730,STDB,F,M8730
M8731,STDB,M,M8731
M8732,STDB,F,M8732
M8733,STDB,M,M8733
M8735,STDB,M,M8735
M8736,STDB,M,M8736
M8737,STDB,M,M8737
M8738,STDB,F,M8738
M8739,STDB,M,M8739
M8740,STDB,M,M8740
M8741,STDB,M,M8741
M8742,STDB,M,M8742
M8743,STDB,F,M8743
M8744,STDB,M,M8744
M8745,STDB,M,M8745
M8746,STDB,M,M8746
M8747,STDB,M,M8747
M8750,STDB,M,M8750
M8862,STDB,F,M8862
M8863,STDB,M,M8863
M8865,STDB,M,M8865
M8866,STDB,M,M8866
M8867,STDB,M,M8867
M8868,STDB,F,M8868
M8870,STDB,F,M8870
M8871,STDB,M,M8871
M8872,STDB,M,M8872
M8873,STDB,F,M8873
M8874,STDB,M,M8874
M8875,STDB,M,M8875
M8876,STDB,M,M8876
M8877,STDB,F,M8877
M8880,STDB,M,M8880
M8881,STDB,M,M8881
M8882,STDB,M,M8882
M8883,STDB,M,M8883
M9047,STDB,M,M9047
M9048,STDB,F,M9048
M9049,STDB,M,M9049
M9051,STDB,M,M9051
M9053,STDB,M,M9053
M9055,STDB,M,M9055
M9056,STDB,M,M9056
M9058,STDB,F,M9058
M9059,STDB,M,M9059
M9061,STDB,M,M9061
M9062,STDB,F,M9062
M9063,STDB,M,M9063
119d,TB,M,119d
136d,TB,M,136d
139d,TB,M,139d
164d,TB,F,164d
170d,TB,M,170d
175d,TB,F,175d
18d,TB,M,18d
201d,TB,F,201d
20d,TB,M,20d
212d,TB,F,212d
22d,TB,F,22d
23d,TB,F,23d
269d,TB,F,269d
273d,TB,F,273d
288d,TB,F,288d
289d,TB,F,289d
290d,TB,F,290d
291d,TB,M,291d
293d,TB,F,293d
294d,TB,F,294d
297d,TB,M,297d
303d,TB,F,303d
304d,TB,M,304d
305d,TB,F,305d
306d,TB,M,306d
307d,TB,M,307d
309d,unknown,NA,309d
30d,TB,M,30d
310d,TB,F,310d
311d,TB,F,311d
312d,TB,F,312d
316d,TB,M,316d
31d,TB,F,31d
320d,TB,F,320d
322d,TB,F,322d
328d,TB,M,328d
332d,TB,F,332d
336d,TB,F,336d
338d,TB,M,338d
341d,TB,M,341d
342d,TB,F,342d
344d,TB,M,344d
349d,unknown,NA,349d
350d,TB,F,350d
355d,TB,F,355d
356d,TB,F,356d
357d,TB,M,357d
359d,TB,M,359d
35d,TB,F,35d
361d,TB,F,361d
366d,TB,F,366d
369d,TB,F,369d
373d,TB,M,373d
383d,TB,M,383d
386d,TB,M,386d
3d,TB,M,3d
403d,TB,F,403d
404d,TB,F,404d
431d,TB,F,431d
433d,TB,F,433d
434d,TB,F,434d
438d,TB,F,438d
43d,TB,F,43d
440d,TB,M,440d
443d,TB,F,443d
446d,TB,F,446d
452d,TB,M,452d
453d,TB,F,453d
455d,TB,M,455d
459d,TB,F,459d
462d,TB,F,462d
472d,TB,F,472d
476d,TB,F,476d
481d,TB,M,481d
482d,TB,F,482d
507d,TB,F,507d
510d,TB,M,510d
533d,TB,M,533d
538d,TB,F,538d
546d,TB,F,546d
580d,TB,F,580d
7d,TB,M,7d
A1032,TB,F,A1032
A1061,TB,M,A1061
A1212,TB,F,A1212
A1234,TB,M,A1234
A1298,TB,M,A1298
A1318,TB,F,A1318
A133,TB,M,A133
A1335,TB,F,A1335
A1362,TB,F,A1362
A1382,TB,M,A1382
A1420,TB,M,A1420
A147,TB,F,A147
A150,TB,F,A150
A1553,TB,F,A1553
A1605,TB,F,A1605
A1606,TB,F,A1606
A1614,TB,M,A1614
A1620,TB,F,A1620
A1622,TB,M,A1622
A173,unknown,NA,A173
A1754,TB,F,A1754
A1757,TB,M,A1757
A196,TB,F,A196
A2040,TB,F,A2040
A2057,TB,F,A2057
A2206,TB,F,A2206
A2262,TB,M,A2262
A24,TB,F,A24
A2520,TB,M,A2520
A2930,TB,M,A2930
A3052,TB,M,A3052
A34,TB,F,A34
A360,TB,F,A360
A381,TB,M,A381
A407,TB,F,A407
A413,TB,F,A413
A43,TB,F,A43
A49,TB,F,A49
A688,TB,M,A688
A701,TB,M,A701
A710,TB,M,A710
A74,TB,F,A74
A786,TB,F,A786
A790,TB,M,A790
A791,TB,F,A791
A82,TB,F,A82
A822,TB,F,A822
A83,TB,F,A83
A954,TB,F,A954
d120,unknown,NA,d120
d1298,unknown,NA,d1298
d1318,unknown,NA,d1318
d1362,unknown,NA,d1362
d137,unknown,NA,d137
d138,unknown,NA,d138
d140,unknown,NA,d140
d141,TB,M,d141
d142,TB,M,d142
d143,TB,M,d143
d144,TB,M,d144
d145,TB,M,d145
d146,TB,M,d146
d147,TB,M,d147
d148,TB,M,d148
d149,TB,M,d149
d150,TB,M,d150
d151,TB,M,d151
d152,TB,M,d152
d153,TB,M,d153
d154,TB,M,d154
d155,TB,M,d155
d1553,unknown,NA,d1553
d156,TB,M,d156
d157,TB,F,d157
d158,unknown,NA,d158
d159,unknown,NA,d159
d160,unknown,NA,d160
d161,TB,F,d161
d162,unknown,NA,d162
d1622,unknown,NA,d1622
d163,unknown,NA,d163
d165,unknown,NA,d165
d166,TB,F,d166
d167,unknown,NA,d167
d168,TB,M,d168
d169,unknown,NA,d169
d171,unknown,NA,d171
d172,TB,F,d172
d173,unknown,NA,d173
d174,unknown,NA,d174
d1757,unknown,NA,d1757
d176,unknown,NA,d176
d180,unknown,NA,d180
d181,unknown,NA,d181
d182,unknown,NA,d182
d183,unknown,NA,d183
d184,unknown,NA,d184
d185,TB,M,d185
d186,unknown,NA,d186
d187,unknown,NA,d187
d189,unknown,NA,d189
d190,TB,M,d190
d191,unknown,NA,d191
d192,unknown,NA,d192
d193,unknown,NA,d193
d194,unknown,NA,d194
d195,unknown,NA,d195
d196,unknown,NA,d196
d197,TB,F,d197
d198,TB,F,d198
d199,unknown,NA,d199
d200,unknown,NA,d200
d202,unknown,NA,d202
d203,TB,F,d203
d204,unknown,NA,d204
d2040,unknown,NA,d2040
d205,TB,F,d205
d206,unknown,NA,d206
d207,unknown,NA,d207
d208,unknown,NA,d208
d209,TB,F,d209
d210,unknown,NA,d210
d211,TB,F,d211
d213,unknown,NA,d213
d214,TB,F,d214
d215,unknown,NA,d215
d2262,unknown,NA,d2262
d265,TB,F,d265
d266,TB,F,d266
d267,unknown,NA,d267
d268,unknown,NA,d268
d270,TB,M,d270
d271,TB,M,d271
d272,unknown,NA,d272
d276,TB,F,d276
d277,TB,F,d277
d278,unknown,NA,d278
d279,unknown,NA,d279
d282,unknown,NA,d282
d283,unknown,NA,d283
d284,unknown,NA,d284
d292,TB,F,d292
d295,unknown,NA,d295
d296,unknown,NA,d296
d298,TB,F,d298
d299,TB,F,d299
d300,TB,F,d300
d301,TB,F,d301
d302,unknown,NA,d302
d308,TB,F,d308
d313,TB,F,d313
d318,unknown,NA,d318
d326,unknown,NA,d326
d337,unknown,NA,d337
d345,unknown,NA,d345
d346,unknown,NA,d346
d362,unknown,NA,d362
d370,unknown,NA,d370
d374,unknown,NA,d374
d376,unknown,NA,d376
d385,TB,F,d385
d392,unknown,NA,d392
d393,unknown,NA,d393
d394,unknown,NA,d394
d398,unknown,NA,d398
d399,unknown,NA,d399
d402,unknown,NA,d402
d411,unknown,NA,d411
d412,unknown,NA,d412
d414,unknown,NA,d414
d415,unknown,NA,d415
d416,unknown,NA,d416
d419,unknown,NA,d419
d420,unknown,NA,d420
d421,unknown,NA,d421
d422,unknown,NA,d422
d423,unknown,NA,d423
d424,unknown,NA,d424
d426,unknown,NA,d426
d427,unknown,NA,d427
d428,unknown,NA,d428
d429,unknown,NA,d429
d430,unknown,NA,d430
d432,unknown,NA,d432
d82,TB,F,d82
d825,TB,F,d825
EGR1013,TB,M,EGR1013
EGR1018,TB,M,EGR1018
EGR1019,TB,M,EGR1019
EGR1020,TB,F,EGR1020
EGR1030,TB,NA,EGR1030
EGR1031,TB,NA,EGR1031
EGR1032,TB,NA,EGR1032
EGR1034,TB,NA,EGR1034
EGR1035,TB,NA,EGR1035
EGR1037,TB,F,EGR1037
EGR1038,TB,F,EGR1038
EGR1048,TB,F,EGR1048
EGR1049,TB,F,EGR1049
EGR1051,TB,F,EGR1051
EGR1052,TB,M,EGR1052
EGR1053,TB,M,EGR1053
EGR1054,TB,M,EGR1054
EGR1055,TB,M,EGR1055
EGR1056,TB,F,EGR1056
EGR1057,TB,M,EGR1057
EGR1058,TB,F,EGR1058
EGR1059,TB,F,EGR1059
EGR1060,TB,F,EGR1060
EGR1062,TB,F,EGR1062
EGR1064,TB,F,EGR1064
EGR1065,TB,M,EGR1065
EGR1067,TB,F,EGR1067
EGR1068,TB,F,EGR1068
EGR1069,TB,M,EGR1069
EGR1070,TB,M,EGR1070
EGR1072,TB,M,EGR1072
EGR1073,TB,M,EGR1073
EGR1074,TB,F,EGR1074
EGR1075,TB,F,EGR1075
EGR1076,TB,F,EGR1076
EGR1078,TB,M,EGR1078
EGR1079,TB,M,EGR1079
EGR1080,TB,M,EGR1080
EGR1081,TB,F,EGR1081
EGR1082,TB,M,EGR1082
EGR1083,TB,M,EGR1083
EGR1084,TB,NA,EGR1084
EGR1085,TB,NA,EGR1085
EGR1086,TB,NA,EGR1086
EGR1087,TB,NA,EGR1087
EGR1088,TB,NA,EGR1088
EGR1090,TB,M,EGR1090
EGR1091,TB,NA,EGR1091
EGR1092,TB,NA,EGR1092
EGR1097,TB,M,EGR1097
EGR1098,TB,F,EGR1098
EGR227,TB,F,EGR227
EGR231,TB,F,EGR231
EGR232,TB,M,EGR232
EGR233,TB,F,EGR233
EGR234,TB,F,EGR234
EGR236,TB,M,EGR236
EGR237,TB,M,EGR237
EGR238,TB,M,EGR238
EGR239,TB,M,EGR239
EGR241,TB,F,EGR241
EGR242,TB,F,EGR242
EGR261,TB,F,EGR261
EGR262,TB,F,EGR262
EGR263,TB,F,EGR263
EGR265,TB,F,EGR265
EGR266,TB,F,EGR266
EGR267,TB,F,EGR267
EGR268,TB,F,EGR268
EGR269,TB,F,EGR269
EGR270,TB,F,EGR270
EGR271,TB,F,EGR271
EGR272,TB,F,EGR272
EGR273,TB,F,EGR273
EGR274,TB,F,EGR274
EGR275,TB,F,EGR275
EGR276,TB,F,EGR276
EGR277,TB,F,EGR277
EGR278,TB,F,EGR278
EGR279,TB,F,EGR279
EGR280,TB,F,EGR280
EGR281,TB,F,EGR281
EGR282,TB,F,EGR282
EGR283,TB,F,EGR283
EGR284,TB,F,EGR284
EGR285,TB,F,EGR285
EGR286,TB,F,EGR286
EGR287,TB,F,EGR287
EGR288,TB,F,EGR288
EGR291,TB,F,EGR291
EGR292,TB,F,EGR292
EGR293,TB,F,EGR293
EGR295,TB,F,EGR295
EGR296,TB,F,EGR296
EGR297,TB,F,EGR297
EGR300,TB,F,EGR300
EGR301,TB,F,EGR301
EGR302,TB,F,EGR302
EGR303,TB,F,EGR303
EGR304,TB,F,EGR304
EGR305,TB,M,EGR305
EGR306,TB,F,EGR306
EGR307,TB,M,EGR307
EGR309,TB,F,EGR309
EGR310,TB,F,EGR310
EGR311,TB,M,EGR311
EGR312,TB,F,EGR312
EGR313,TB,F,EGR313
EGR314,TB,F,EGR314
EGR315,TB,F,EGR315
EGR316,TB,M,EGR316
EGR317,TB,F,EGR317
EGR318,TB,M,EGR318
EGR319,TB,M,EGR319
EGR320,TB,F,EGR320
EGR321,TB,F,EGR321
EGR322,TB,F,EGR322
EGR325,TB,F,EGR325
EGR326,TB,F,EGR326
EGR355,TB,F,EGR355
EGR357,TB,M,EGR357
EGR358,TB,F,EGR358
EGR359,TB,F,EGR359
EGR360,TB,F,EGR360
EGR361,TB,F,EGR361
EGR362,TB,F,EGR362
EGR363,TB,F,EGR363
EGR365,TB,F,EGR365
EGR366,TB,M,EGR366
EGR367,TB,M,EGR367
EGR368,TB,M,EGR368
EGR369,TB,F,EGR369
EGR370,TB,F,EGR370
EGR371,TB,F,EGR371
EGR372,TB,F,EGR372
EGR373,TB,F,EGR373
EGR374,TB,F,EGR374
EGR375,TB,NA,EGR375
EGR376,TB,F,EGR376
EGR377,TB,F,EGR377
EGR378,TB,F,EGR378
EGR379,TB,F,EGR379
EGR380,TB,F,EGR380
EGR381,TB,NA,EGR381
EGR382,TB,F,EGR382
EGR383,TB,M,EGR383
EGR384,TB,M,EGR384
EGR385,TB,NA,EGR385
EGR386,TB,M,EGR386
EGR387,TB,F,EGR387
EGR388,TB,M,EGR388
EGR389,TB,M,EGR389
EGR390,TB,M,EGR390
EGR391,TB,M,EGR391
EGR392,TB,M,EGR392
EGR393,TB,M,EGR393
EGR394,TB,M,EGR394
EGR395,TB,M,EGR395
EGR396,TB,NA,EGR396
EGR507,TB,F,EGR507
EGR509,TB,M,EGR509
EGR511,TB,F,EGR511
EGR512,TB,F,EGR512
EGR513,TB,M,EGR513
EGR515,TB,F,EGR515
EGR516,TB,F,EGR516
EGR517,TB,F,EGR517
EGR518,TB,F,EGR518
EGR519,TB,F,EGR519
EGR520,TB,F,EGR520
EGR522,TB,F,EGR522
EGR523,TB,F,EGR523
EGR524,TB,M,EGR524
EGR526,TB,F,EGR526
EGR527,TB,M,EGR527
EGR528,TB,M,EGR528
EGR532,TB,F,EGR532
EGR533,TB,F,EGR533
EGR534,TB,F,EGR534
EGR536,TB,F,EGR536
EGR537,TB,M,EGR537
EGR538,TB,M,EGR538
EGR539,TB,F,EGR539
EGR541,TB,M,EGR541
EGR542,TB,F,EGR542
EGR543,TB,F,EGR543
EGR546,TB,F,EGR546
EGR547,TB,F,EGR547
EGR550,TB,M,EGR550
EGR551,TB,F,EGR551
EGR553,TB,M,EGR553
EGR554,TB,M,EGR554
EGR555,TB,F,EGR555
EGR556,TB,M,EGR556
EGR557,TB,F,EGR557
EGR558,TB,F,EGR558
EGR559,TB,M,EGR559
EGR560,TB,F,EGR560
EGR561,TB,F,EGR561
EGR562,TB,F,EGR562
EGR564,TB,F,EGR564
EGR565,TB,M,EGR565
EGR566,TB,M,EGR566
EGR567,TB,M,EGR567
EGR570,TB,F,EGR570
EGR571,TB,F,EGR571
EGR573,TB,F,EGR573
EGR574,TB,F,EGR574
EGR575,TB,M,EGR575
EGR576,TB,F,EGR576
EGR577,TB,F,EGR577
EGR639,TB,F,EGR639
EGR641,TB,F,EGR641
EGR642,TB,F,EGR642
EGR643,TB,F,EGR643
EGR644,TB,F,EGR644
EGR646,TB,F,EGR646
EGR647,TB,F,EGR647
EGR648,TB,F,EGR648
EGR649,TB,F,EGR649
EGR651,TB,F,EGR651
EGR652,TB,F,EGR652
EGR653,TB,F,EGR653
EGR657,TB,F,EGR657
EGR658,TB,F,EGR658
EGR659,TB,F,EGR659
EGR660,TB,F,EGR660
EGR661,TB,F,EGR661
EGR662,TB,F,EGR662
EGR663,TB,F,EGR663
EGR664,TB,F,EGR664
EGR665,TB,M,EGR665
EGR666,TB,M,EGR666
EGR667,TB,M,EGR667
EGR668,TB,F,EGR668
EGR669,TB,F,EGR669
EGR670,TB,F,EGR670
EGR671,TB,F,EGR671
EGR672,TB,F,EGR672
EGR673,TB,F,EGR673
EGR675,TB,M,EGR675
EGR676,TB,F,EGR676
EGR682,TB,M,EGR682
EGR684,TB,F,EGR684
EGR685,TB,F,EGR685
EGR942,TB,M,EGR942
EGR944,TB,F,EGR944
EGR945,TB,F,EGR945
EGR948,TB,F,EGR948
EGR949,TB,F,EGR949
EGR950,TB,F,EGR950
EGR955,TB,F,EGR955
EGR956,TB,F,EGR956
EGR957,TB,F,EGR957
EGR958,TB,F,EGR958
EGR959,TB,F,EGR959
EGR961,TB,F,EGR961
EGR963,TB,M,EGR963
EGR964,TB,F,EGR964
EGR968,TB,M,EGR968
EGR969,TB,F,EGR969
EGR970,TB,M,EGR970
EGR975,TB,F,EGR975
EGR977,TB,M,EGR977
EGR986,TB,M,EGR986
EGR994,TB,M,EGR994
