horseid,breed,gender,fastq_id
M12238,STDB,M,M12238
M12239,STDB,F,M12239
M12240,STDB,F,M12240
M12241,STDB,M,M12241
M12242,STDB,M,M12242
M12244,STDB,F,M12244
M12245,STDB,M,M12245
M12246,STDB,F,M12246
M12247,STDB,M,M12247
M12248,STDB,M,M12248
M12249,STDB,F,M12249
M12250,STDB,M,M12250
M12251,STDB,F,M12251
M12252,STDB,F,M12252
M12253,STDB,M,M12253
M12254,STDB,F,M12254
M12255,STDB,M,M12255
M12256,STDB,F,M12256
M12257,STDB,M,M12257
M12258,STDB,F,M12258
M12259,STDB,M,M12259
M12260,STDB,M,M12260
M12261,STDB,F,M12261
M12262,STDB,F,M12262
M12263,STDB,F,M12263
M12264,STDB,M,M12264
M12265,STDB,F,M12265
M12266,STDB,M,M12266
M12267,STDB,F,M12267
M12268,STDB,M,M12268
M12269,STDB,M,M12269
M12270,STDB,M,M12270
M12271,STDB,F,M12271
M12272,STDB,F,M12272
M12273,STDB,F,M12273
M12274,STDB,F,M12274
M12275,STDB,M,M12275
M12276,STDB,F,M12276
M12277,STDB,F,M12277
M13161,TB,F,M13161
M13162,TB,M,M13162
M13163,TB,M,M13163
M13164,TB,F,M13164
M13165,TB,F,M13165
M13166,TB,F,M13166
M13167,TB,F,M13167
M13168,TB,M,M13168
M13169,TB,M,M13169
M13170,TB,F,M13170
M13171,TB,F,M13171
M13172,TB,F,M13172
M13173,TB,F,M13173
M13174,TB,M,M13174
M13175,TB,M,M13175
M13176,TB,M,M13176
M13177,TB,M,M13177
M13178,TB,F,M13178
M13179,TB,M,M13179
M13180,TB,F,M13180
M13181,TB,F,M13181
M13182,TB,F,M13182
M13183,TB,F,M13183
M13184,TB,F,M13184
M13185,TB,M,M13185
M13186,TB,M,M13186
M13187,TB,M,M13187
M13188,TB,F,M13188
M13189,TB,F,M13189
M13190,TB,M,M13190
M13191,TB,F,M13191
M13192,TB,F,M13192
M13193,TB,F,M13193
M13194,TB,F,M13194
M13195,TB,M,M13195
M13196,TB,F,M13196
M13197,TB,M,M13197
M13198,TB,F,M13198
M13199,TB,F,M13199
M13200,TB,F,M13200
M13201,TB,M,M13201
M13202,TB,M,M13202
M13203,TB,F,M13203
M13204,TB,M,M13204
M13205,TB,M,M13205
M13206,TB,M,M13206
M13207,TB,F,M13207
M13208,TB,F,M13208
M13209,TB,M,M13209
M13210,TB,F,M13210
M13211,TB,F,M13211
M13212,TB,M,M13212
M13213,TB,F,M13213
M13214,TB,F,M13214
M13215,TB,F,M13215
M13216,TB,F,M13216
M13217,TB,M,M13217
M13218,TB,F,M13218
M13219,TB,M,M13219
M13220,TB,M,M13220
M13221,TB,M,M13221
M13222,TB,F,M13222
M13223,TB,F,M13223
M13224,TB,F,M13224
M13225,TB,F,M13225
M13226,TB,F,M13226
M13227,TB,F,M13227
M13228,TB,F,M13228
M13229,TB,F,M13229
M13230,TB,M,M13230
M13231,TB,M,M13231
M13232,TB,F,M13232
M13233,TB,F,M13233
M13234,TB,F,M13234
M13235,TB,F,M13235
M13236,TB,M,M13236
M13237,TB,M,M13237
M13238,TB,M,M13238
M13239,TB,M,M13239
M13240,TB,M,M13240
M13241,TB,F,M13241
M13242,TB,M,M13242
M13243,TB,F,M13243
M13244,TB,M,M13244
M13245,TB,M,M13245
M13246,TB,F,M13246
M13247,TB,M,M13247
M13248,TB,F,M13248
M13249,TB,F,M13249
M13250,TB,M,M13250
M13251,TB,F,M13251
M13252,TB,M,M13252
M13253,TB,M,M13253
M13254,TB,F,M13254
M13255,TB,F,M13255
M13256,TB,M,M13256
M13257,TB,M,M13257
M13258,TB,M,M13258
M13259,TB,F,M13259
M13260,TB,F,M13260
M13261,TB,F,M13261
M13262,TB,F,M13262
M13263,TB,F,M13263
M13264,TB,F,M13264
M13265,TB,F,M13265
M13266,TB,F,M13266
M13267,TB,F,M13267
M13268,TB,M,M13268
M13269,TB,M,M13269
M13270,TB,F,M13270
M13271,TB,F,M13271
M13272,TB,M,M13272
M13273,TB,M,M13273
M13274,TB,F,M13274
M13275,TB,F,M13275
M13276,TB,M,M13276
M13277,TB,F,M13277
M13278,TB,M,M13278
M13279,TB,M,M13279
M13280,TB,F,M13280
M13281,TB,F,M13281
M13282,TB,F,M13282
M13283,TB,M,M13283
M13284,TB,M,M13284
M13285,TB,F,M13285
M13286,TB,M,M13286
M13287,TB,M,M13287
M13288,TB,F,M13288
M13289,TB,F,M13289
M13290,TB,M,M13290
M13291,TB,F,M13291
M13292,TB,F,M13292
M13293,TB,F,M13293
M13294,TB,M,M13294
M13295,TB,F,M13295
M13296,TB,F,M13296
M13297,TB,F,M13297
M13298,TB,F,M13298
M13299,TB,F,M13299
M13300,TB,M,M13300
M13301,TB,F,M13301
M13302,TB,F,M13302
M13303,TB,M,M13303
M13304,TB,F,M13304
M13305,TB,F,M13305
M13306,TB,F,M13306
M13307,TB,M,M13307
M13308,TB,F,M13308
M13309,TB,F,M13309
M13310,TB,F,M13310
M13311,TB,F,M13311
M13312,TB,F,M13312
M13313,TB,F,M13313
M13314,TB,F,M13314
M13315,TB,M,M13315
M13316,TB,F,M13316
M13317,TB,M,M13317
M13318,TB,F,M13318
M13319,TB,M,M13319
M13320,TB,F,M13320
M13321,TB,M,M13321
M13322,TB,F,M13322
M13323,TB,F,M13323
M13324,TB,M,M13324
M13325,TB,F,M13325
M13326,TB,F,M13326
M13327,TB,F,M13327
M13328,TB,F,M13328
M13329,TB,F,M13329
M13330,TB,M,M13330
M13331,TB,F,M13331
M13332,TB,F,M13332
M13333,TB,F,M13333
M13334,TB,M,M13334
M13335,TB,M,M13335
M13336,TB,M,M13336
M13337,TB,F,M13337
M13338,TB,M,M13338
M13339,TB,F,M13339
M13340,TB,M,M13340
M13341,TB,F,M13341
M13342,TB,F,M13342
M13343,TB,F,M13343
M13344,TB,M,M13344
M13345,TB,F,M13345
M13346,TB,M,M13346
M13347,TB,M,M13347
M13348,TB,F,M13348
M13349,TB,F,M13349
M13350,TB,M,M13350
M13351,TB,M,M13351
M13352,TB,F,M13352
M13353,TB,F,M13353
M13354,TB,M,M13354
M13355,TB,M,M13355
M13356,TB,F,M13356
M13357,TB,F,M13357
M13358,TB,M,M13358
M13359,TB,F,M13359
M13360,TB,M,M13360
M13361,TB,M,M13361
M13362,TB,M,M13362
M13363,TB,M,M13363
M13364,TB,F,M13364
M13365,TB,M,M13365
M13366,TB,F,M13366
M13367,TB,M,M13367
M13368,TB,F,M13368
M13369,TB,F,M13369
M13370,TB,F,M13370
M13371,TB,F,M13371
M13372,TB,F,M13372
M13373,TB,M,M13373
M13374,TB,M,M13374
M13375,TB,M,M13375
M13376,TB,F,M13376
M13377,TB,M,M13377
M13378,TB,F,M13378
M13379,TB,F,M13379
M13380,TB,M,M13380
M13381,TB,F,M13381
M13382,TB,F,M13382
M13383,TB,F,M13383
M13384,TB,F,M13384
M13385,TB,F,M13385
M13386,TB,F,M13386
M13387,TB,M,M13387
M13388,TB,F,M13388
M13389,TB,M,M13389
M13390,TB,F,M13390
M13391,TB,F,M13391
M13392,TB,F,M13392
M13393,TB,F,M13393
M13394,TB,F,M13394
M13395,TB,M,M13395
M13396,TB,F,M13396
M13397,TB,F,M13397
M13398,TB,M,M13398
M13399,TB,F,M13399
M13400,TB,F,M13400
M13401,TB,M,M13401
M13402,TB,M,M13402
M13403,TB,F,M13403
M13404,TB,M,M13404
M13405,TB,F,M13405
M13406,TB,M,M13406
M13407,TB,F,M13407
M13408,TB,F,M13408
M13409,TB,M,M13409
M13410,TB,M,M13410
M13411,TB,F,M13411
M13412,TB,F,M13412
M13413,TB,F,M13413
M13414,TB,M,M13414
M13415,TB,F,M13415
M13416,TB,M,M13416
M13417,TB,F,M13417
M13418,TB,M,M13418
M13419,TB,F,M13419
M13420,TB,F,M13420
M13421,TB,F,M13421
M13422,TB,M,M13422
M13423,TB,M,M13423
M13424,TB,F,M13424
M13425,TB,M,M13425
M13426,TB,F,M13426
M13427,TB,F,M13427
M13428,TB,F,M13428
M13429,TB,M,M13429
M13430,TB,F,M13430
M13431,TB,F,M13431
M13432,TB,M,M13432
M13433,TB,F,M13433
M13434,TB,M,M13434
M13435,TB,M,M13435
M13436,TB,F,M13436
M13437,TB,M,M13437
M13438,TB,F,M13438
M13439,TB,F,M13439
M13440,TB,M,M13440
M13441,TB,F,M13441
M13442,TB,F,M13442
M13443,TB,F,M13443
M13444,TB,F,M13444
M13445,TB,M,M13445
M13446,TB,F,M13446
M13447,TB,M,M13447
M13448,TB,F,M13448
M13449,TB,F,M13449
M13450,TB,M,M13450
M13451,TB,M,M13451
M13452,TB,M,M13452
M13453,TB,M,M13453
M13454,TB,F,M13454
M13455,TB,F,M13455
M13456,TB,M,M13456
M13457,TB,F,M13457
M13458,TB,F,M13458
M13459,TB,F,M13459
M13460,TB,M,M13460
M13461,TB,F,M13461
M13462,TB,F,M13462
M13463,TB,F,M13463
M13464,TB,F,M13464
M13465,TB,F,M13465
M13466,TB,M,M13466
M13467,TB,F,M13467
M13468,TB,M,M13468
M13469,TB,F,M13469
M13470,TB,F,M13470
M13471,TB,M,M13471
M13472,TB,F,M13472
M13473,TB,F,M13473
M13474,TB,F,M13474
M13475,TB,F,M13475
M13476,TB,F,M13476
M13477,TB,F,M13477
M13478,TB,F,M13478
M13479,TB,M,M13479
M1425,STDB,M,M1425
M1426,STDB,F,M1426
M1428,STDB,M,M1428
M1429,STDB,F,M1429
M1432,STDB,M,M1432
M1434,STDB,M,M1434
M1435,STDB,M,M1435
M1436,STDB,M,M1436
M1437,STDB,M,M1437
M1438,STDB,M,M1438
M1439,STDB,M,M1439
M1440,STDB,M,M1440
M1441,STDB,M,M1441
M1442,STDB,M,M1442
M1443,STDB,M,M1443
M1444,STDB,M,M1444
M1445,STDB,M,M1445
M1446,STDB,M,M1446
M1447,STDB,M,M1447
M1448,STDB,M,M1448
M1449,STDB,F,M1449
M1450,STDB,M,M1450
M1452,STDB,F,M1452
M1453,STDB,M,M1453
M1454,STDB,M,M1454
M1455,STDB,M,M1455
M1456,STDB,M,M1456
M1458,STDB,F,M1458
M1459,STDB,M,M1459
M1461,STDB,F,M1461
M1462,STDB,F,M1462
M1464,STDB,M,M1464
M1465,STDB,M,M1465
M1466,STDB,F,M1466
M1467,STDB,F,M1467
M1468,STDB,M,M1468
M1469,STDB,F,M1469
M1470,STDB,M,M1470
M1471,STDB,F,M1471
M1472,STDB,F,M1472
M1473,STDB,F,M1473
M1474,STDB,F,M1474
M1475,STDB,F,M1475
M1476,STDB,M,M1476
M1477,STDB,F,M1477
M1478,STDB,F,M1478
M1479,STDB,F,M1479
M1480,STDB,M,M1480
M1481,STDB,F,M1481
M1482,STDB,M,M1482
M1483,STDB,F,M1483
M1484,STDB,F,M1484
M1485,STDB,M,M1485
M1486,STDB,F,M1486
M1487,STDB,F,M1487
M1488,STDB,M,M1488
M1489,STDB,F,M1489
M1490,STDB,F,M1490
M1491,STDB,F,M1491
M1492,STDB,F,M1492
M1493,STDB,M,M1493
M1494,STDB,M,M1494
M1495,STDB,M,M1495
M1496,STDB,F,M1496
M1497,STDB,F,M1497
M1498,STDB,F,M1498
M1499,STDB,M,M1499
M1501,TB,M,M1501
M1502,TB,F,M1502
M1503,TB,M,M1503
M1504,TB,M,M1504
M1505,TB,F,M1505
M1506,TB,M,M1506
M1507,TB,M,M1507
M1508,TB,F,M1508
M1510,TB,M,M1510
M1511,TB,M,M1511
M1512,TB,M,M1512
M1514,TB,M,M1514
M1515,unknown,NA,M1515
M1516,TB,M,M1516
M1517,TB,M,M1517
M1519,TB,F,M1519
M6099,STDB,F,M6099
M6100,STDB,M,M6100
M6101,STDB,M,M6101
M6102,STDB,M,M6102
M6103,STDB,F,M6103
M6104,STDB,M,M6104
M6105,STDB,F,M6105
M6106,STDB,F,M6106
M6107,STDB,F,M6107
M6108,STDB,M,M6108
M6109,STDB,F,M6109
M6110,STDB,M,M6110
M6111,STDB,M,M6111
M6112,STDB,M,M6112
M6113,STDB,M,M6113
M6114,STDB,M,M6114
M6115,STDB,M,M6115
M6116,STDB,M,M6116
M6117,STDB,F,M6117
M6118,STDB,F,M6118
M6119,STDB,M,M6119
M6120,STDB,M,M6120
M6121,STDB,M,M6121
M6122,STDB,F,M6122
M6123,STDB,M,M6123
M6124,STDB,F,M6124
M6125,STDB,F,M6125
M6126,STDB,F,M6126
M6127,STDB,F,M6127
M6128,STDB,M,M6128
M6129,STDB,F,M6129
M6130,STDB,M,M6130
M6131,STDB,F,M6131
M6132,STDB,F,M6132
M6133,STDB,F,M6133
M6134,STDB,M,M6134
M6135,STDB,M,M6135
M6136,STDB,F,M6136
M6137,STDB,M,M6137
M6138,STDB,F,M6138
M6139,STDB,M,M6139
M6140,STDB,M,M6140
M6141,STDB,M,M6141
M6142,STDB,F,M6142
M6143,STDB,M,M6143
M6144,STDB,F,M6144
M6145,STDB,F,M6145
M6146,STDB,M,M6146
M6147,STDB,M,M6147
M6148,STDB,F,M6148
M6149,STDB,F,M6149
M6150,STDB,M,M6150
M6151,STDB,M,M6151
M6152,STDB,M,M6152
M6153,STDB,M,M6153
M6154,STDB,F,M6154
M6155,STDB,M,M6155
M6156,STDB,M,M6156
M6157,STDB,F,M6157
M6158,STDB,F,M6158
M6159,STDB,M,M6159
M6160,STDB,F,M6160
M6161,STDB,M,M6161
M6162,STDB,F,M6162
M6163,STDB,M,M6163
M6164,STDB,F,M6164
M6165,STDB,M,M6165
M6166,STDB,M,M6166
M6167,STDB,M,M6167
M6168,STDB,F,M6168
M6169,STDB,F,M6169
M6170,STDB,F,M6170
M6171,STDB,F,M6171
M6172,STDB,F,M6172
M6173,STDB,F,M6173
M6174,STDB,M,M6174
M6175,STDB,M,M6175
M6176,STDB,M,M6176
M6177,STDB,M,M6177
M6178,STDB,M,M6178
M6179,STDB,F,M6179
M6180,STDB,M,M6180
M6181,STDB,F,M6181
M6182,STDB,F,M6182
M6184,STDB,F,M6184
M6185,STDB,F,M6185
M6186,STDB,F,M6186
M6187,STDB,M,M6187
M6188,STDB,M,M6188
M6189,STDB,M,M6189
M6190,STDB,F,M6190
M6191,STDB,M,M6191
M6192,STDB,F,M6192
M6193,STDB,F,M6193
M6194,STDB,F,M6194
M6195,STDB,M,M6195
M6196,STDB,F,M6196
M6197,STDB,M,M6197
M6198,STDB,F,M6198
M6199,STDB,F,M6199
M6200,STDB,M,M6200
M6201,STDB,F,M6201
M6202,STDB,F,M6202
M6203,STDB,M,M6203
M6844,STDB,F,M6844
M6845,STDB,M,M6845
M6846,STDB,F,M6846
M6847,STDB,M,M6847
M6849,STDB,M,M6849
M6850,STDB,M,M6850
M6851,STDB,F,M6851
M6852,STDB,M,M6852
M6853,STDB,M,M6853
M6854,STDB,M,M6854
M6855,STDB,M,M6855
M6856,STDB,M,M6856
M6857,STDB,F,M6857
M6858,STDB,F,M6858
M6859,STDB,F,M6859
M6860,STDB,F,M6860
M6861,STDB,M,M6861
M6862,STDB,M,M6862
M6863,STDB,M,M6863
M6864,STDB,M,M6864
M6865,STDB,F,M6865
M6866,STDB,M,M6866
M6867,STDB,M,M6867
M6868,STDB,M,M6868
M6869,STDB,F,M6869
M6870,STDB,F,M6870
M6871,STDB,F,M6871
M6872,STDB,F,M6872
M6873,STDB,M,M6873
M6874,STDB,M,M6874
M6876,STDB,M,M6876
M6877,STDB,F,M6877
M6878,STDB,M,M6878
M6879,STDB,M,M6879
M6880,STDB,M,M6880
M6881,STDB,F,M6881
M6882,STDB,M,M6882
M6883,STDB,M,M6883
M6884,STDB,F,M6884
M6885,STDB,F,M6885
M6886,STDB,M,M6886
M6887,STDB,F,M6887
M6888,STDB,F,M6888
M6889,STDB,M,M6889
M6890,STDB,M,M6890
M6891,STDB,M,M6891
M6892,STDB,M,M6892
M6893,STDB,F,M6893
M6894,STDB,F,M6894
M6895,STDB,F,M6895
M6896,STDB,F,M6896
M6897,STDB,M,M6897
M6898,STDB,M,M6898
M6899,STDB,M,M6899
M6900,STDB,M,M6900
M6901,STDB,M,M6901
M6902,STDB,F,M6902
M6903,STDB,F,M6903
M6904,STDB,M,M6904
M6905,STDB,M,M6905
M6906,STDB,M,M6906
M6907,STDB,F,M6907
M6908,STDB,F,M6908
M6909,STDB,F,M6909
M6910,STDB,M,M6910
M6912,STDB,F,M6912
M6913,STDB,M,M6913
M6914,STDB,M,M6914
M6915,STDB,M,M6915
M6916,STDB,M,M6916
M6917,STDB,F,M6917
M6918,STDB,F,M6918
M6919,STDB,F,M6919
M6920,STDB,M,M6920
M6921,STDB,M,M6921
M6922,STDB,M,M6922
M6923,STDB,M,M6923
M6924,STDB,M,M6924
M6925,STDB,M,M6925
M6926,STDB,M,M6926
M6927,STDB,F,M6927
M6928,STDB,M,M6928
M6929,STDB,M,M6929
M6930,STDB,F,M6930
M6931,STDB,F,M6931
M6932,STDB,F,M6932
